
Dataset Validation
======================================================================

  Split: train    STATUS: OK
    Cider                             405 images
    IPA                               345 images
    Lager                             267 images
    Stout                             478 images
    Wheat                             433 images

  Split: val    STATUS: OK
    Cider                             86 images
    IPA                               74 images
    Lager                             57 images
    Stout                             102 images
    Wheat                             92 images

  Split: test    STATUS: OK
    Cider                             88 images
    IPA                               75 images
    Lager                             58 images
    Stout                             104 images
    Wheat                             94 images

======================================================================
VALIDATION RESULT: PASSED   (all splits and classes found)
======================================================================

  Class weights (inverse-frequency):
    Cider                            405 samples  weight: 0.9135
    IPA                              345 samples  weight: 1.0724
    Lager                            267 samples  weight: 1.3857
    Stout                            478 samples  weight: 0.7740
    Wheat                            433 samples  weight: 0.8544
  Config snapshot saved to results/v36/config_snapshot.json
======================================================================
Training
======================================================================
  Epoch [1/300]  loss: 2.3318  accuracy: 29.77%  val_loss: 1.4101  val_accuracy: 37.71%
  Epoch [2/300]  loss: 1.5099  accuracy: 35.89%  val_loss: 1.4046  val_accuracy: 42.82%
  Epoch [3/300]  loss: 1.4925  accuracy: 37.76%  val_loss: 1.3910  val_accuracy: 42.82%
  Epoch [4/300]  loss: 1.4838  accuracy: 38.02%  val_loss: 1.5216  val_accuracy: 38.20%
  Epoch [5/300]  loss: 1.4723  accuracy: 40.35%  val_loss: 1.4174  val_accuracy: 43.07%
  Epoch [6/300]  loss: 1.4586  accuracy: 40.87%  val_loss: 1.3956  val_accuracy: 45.26%
  Epoch [7/300]  loss: 1.4496  accuracy: 41.96%  val_loss: 1.3872  val_accuracy: 45.50%
  Epoch [8/300]  loss: 1.4442  accuracy: 43.00%  val_loss: 1.4001  val_accuracy: 44.28%
  Epoch [9/300]  loss: 1.4400  accuracy: 43.05%  val_loss: 1.3890  val_accuracy: 46.96%
  Epoch [10/300]  loss: 1.4290  accuracy: 42.53%  val_loss: 1.3716  val_accuracy: 45.01%
  Epoch [11/300]  loss: 1.4311  accuracy: 43.67%  val_loss: 1.3701  val_accuracy: 44.28%
  Epoch [12/300]  loss: 1.4165  accuracy: 43.72%  val_loss: 1.3932  val_accuracy: 46.72%
  Epoch [13/300]  loss: 1.4215  accuracy: 45.70%  val_loss: 1.4397  val_accuracy: 42.34%
  Epoch [14/300]  loss: 1.4032  accuracy: 44.45%  val_loss: 1.3632  val_accuracy: 48.18%
  Epoch [15/300]  loss: 1.4071  accuracy: 44.55%  val_loss: 1.4070  val_accuracy: 48.66%
  Epoch [16/300]  loss: 1.3960  accuracy: 44.87%  val_loss: 1.4014  val_accuracy: 48.18%
  Epoch [17/300]  loss: 1.3898  accuracy: 44.29%  val_loss: 1.4067  val_accuracy: 47.69%
  Epoch [18/300]  loss: 1.3923  accuracy: 45.44%  val_loss: 1.3503  val_accuracy: 52.07%
  Epoch [19/300]  loss: 1.3830  accuracy: 46.21%  val_loss: 1.4305  val_accuracy: 45.74%
  Epoch [20/300]  loss: 1.3848  accuracy: 45.75%  val_loss: 1.3878  val_accuracy: 43.80%
  Epoch [21/300]  loss: 1.3862  accuracy: 45.02%  val_loss: 1.3681  val_accuracy: 48.91%
  Epoch [22/300]  loss: 1.3815  accuracy: 46.42%  val_loss: 1.3993  val_accuracy: 46.72%
  Epoch [23/300]  loss: 1.3692  accuracy: 46.73%  val_loss: 1.4061  val_accuracy: 49.64%
  Epoch [24/300]  loss: 1.3609  accuracy: 47.20%  val_loss: 1.4168  val_accuracy: 45.99%
  Epoch [25/300]  loss: 1.3635  accuracy: 46.89%  val_loss: 1.3973  val_accuracy: 47.45%
  Epoch [26/300]  loss: 1.3667  accuracy: 46.52%  val_loss: 1.3676  val_accuracy: 48.18%
  Epoch [27/300]  loss: 1.3564  accuracy: 46.52%  val_loss: 1.4139  val_accuracy: 46.23%
  Epoch [28/300]  loss: 1.3635  accuracy: 46.21%  val_loss: 1.3950  val_accuracy: 49.64%
  Epoch [29/300]  loss: 1.3532  accuracy: 46.73%  val_loss: 1.4323  val_accuracy: 51.09%
  Epoch [30/300]  loss: 1.3740  accuracy: 45.59%  val_loss: 1.4203  val_accuracy: 45.26%
  Epoch [31/300]  loss: 1.3563  accuracy: 47.41%  val_loss: 1.4316  val_accuracy: 49.39%
  Epoch [32/300]  loss: 1.3597  accuracy: 46.63%  val_loss: 1.4272  val_accuracy: 47.45%
  Epoch [33/300]  loss: 1.3645  accuracy: 47.10%  val_loss: 1.3751  val_accuracy: 50.85%
  Epoch [34/300]  loss: 1.3492  accuracy: 47.35%  val_loss: 1.4127  val_accuracy: 51.09%
  Epoch [35/300]  loss: 1.3609  accuracy: 47.46%  val_loss: 1.3959  val_accuracy: 48.42%
  Epoch [36/300]  loss: 1.3526  accuracy: 47.93%  val_loss: 1.3775  val_accuracy: 54.99%
  Epoch [37/300]  loss: 1.3446  accuracy: 47.61%  val_loss: 1.3887  val_accuracy: 53.77%
  Epoch [38/300]  loss: 1.3381  accuracy: 47.77%  val_loss: 1.3805  val_accuracy: 50.36%
  Epoch [39/300]  loss: 1.3461  accuracy: 48.13%  val_loss: 1.4096  val_accuracy: 50.61%
  Epoch [40/300]  loss: 1.3393  accuracy: 48.13%  val_loss: 1.4009  val_accuracy: 51.58%
  Epoch [41/300]  loss: 1.3529  accuracy: 47.51%  val_loss: 1.4047  val_accuracy: 50.85%
  Epoch [42/300]  loss: 1.3356  accuracy: 47.87%  val_loss: 1.3509  val_accuracy: 51.82%
  Epoch [43/300]  loss: 1.3375  accuracy: 46.89%  val_loss: 1.3585  val_accuracy: 49.15%
  Epoch [44/300]  loss: 1.3450  accuracy: 48.34%  val_loss: 1.3289  val_accuracy: 50.85%
  Epoch [45/300]  loss: 1.3436  accuracy: 47.30%  val_loss: 1.4127  val_accuracy: 49.88%
  Epoch [46/300]  loss: 1.3327  accuracy: 50.05%  val_loss: 1.3862  val_accuracy: 47.93%
  Epoch [47/300]  loss: 1.3334  accuracy: 48.55%  val_loss: 1.3393  val_accuracy: 54.50%
  Epoch [48/300]  loss: 1.3404  accuracy: 48.50%  val_loss: 1.3836  val_accuracy: 52.31%
  Epoch [49/300]  loss: 1.3195  accuracy: 50.57%  val_loss: 1.3735  val_accuracy: 53.53%
  Epoch [50/300]  loss: 1.3348  accuracy: 48.76%  val_loss: 1.3661  val_accuracy: 54.01%
  Epoch [51/300]  loss: 1.3198  accuracy: 49.79%  val_loss: 1.3752  val_accuracy: 52.55%
  Epoch [52/300]  loss: 1.3261  accuracy: 51.61%  val_loss: 1.3243  val_accuracy: 53.04%
  Epoch [53/300]  loss: 1.3210  accuracy: 50.31%  val_loss: 1.3306  val_accuracy: 53.77%
  Epoch [54/300]  loss: 1.3109  accuracy: 50.99%  val_loss: 1.3270  val_accuracy: 53.77%
  Epoch [55/300]  loss: 1.3042  accuracy: 51.35%  val_loss: 1.3449  val_accuracy: 54.26%
  Epoch [56/300]  loss: 1.3033  accuracy: 52.28%  val_loss: 1.3819  val_accuracy: 54.01%
  Epoch [57/300]  loss: 1.2923  accuracy: 53.37%  val_loss: 1.3310  val_accuracy: 54.26%
  Epoch [58/300]  loss: 1.2921  accuracy: 52.90%  val_loss: 1.3638  val_accuracy: 57.42%
  Epoch [59/300]  loss: 1.2830  accuracy: 52.80%  val_loss: 1.3501  val_accuracy: 58.15%
  Epoch [60/300]  loss: 1.2847  accuracy: 54.05%  val_loss: 1.3422  val_accuracy: 55.23%
  Epoch [61/300]  loss: 1.2981  accuracy: 52.33%  val_loss: 1.3648  val_accuracy: 58.15%
  Epoch [62/300]  loss: 1.2668  accuracy: 55.03%  val_loss: 1.3080  val_accuracy: 56.69%
  Epoch [63/300]  loss: 1.2659  accuracy: 54.56%  val_loss: 1.2996  val_accuracy: 53.53%
  Epoch [64/300]  loss: 1.2526  accuracy: 54.93%  val_loss: 1.2834  val_accuracy: 55.72%
  Epoch [65/300]  loss: 1.2765  accuracy: 54.05%  val_loss: 1.2663  val_accuracy: 58.88%
  Epoch [66/300]  loss: 1.2629  accuracy: 54.41%  val_loss: 1.2973  val_accuracy: 58.64%
  Epoch [67/300]  loss: 1.2550  accuracy: 56.17%  val_loss: 1.3399  val_accuracy: 60.34%
  Epoch [68/300]  loss: 1.2459  accuracy: 55.76%  val_loss: 1.2561  val_accuracy: 58.64%
  Epoch [69/300]  loss: 1.2533  accuracy: 55.39%  val_loss: 1.2844  val_accuracy: 58.64%
  Epoch [70/300]  loss: 1.2510  accuracy: 55.86%  val_loss: 1.2222  val_accuracy: 62.29%
  Epoch [71/300]  loss: 1.2404  accuracy: 55.81%  val_loss: 1.2674  val_accuracy: 57.66%
  Epoch [72/300]  loss: 1.2523  accuracy: 55.34%  val_loss: 1.2832  val_accuracy: 56.20%
  Epoch [73/300]  loss: 1.2009  accuracy: 59.13%  val_loss: 1.2489  val_accuracy: 57.18%
  Epoch [74/300]  loss: 1.2297  accuracy: 57.88%  val_loss: 1.2426  val_accuracy: 60.83%
  Epoch [75/300]  loss: 1.2271  accuracy: 57.99%  val_loss: 1.2350  val_accuracy: 60.83%
  Epoch [76/300]  loss: 1.2132  accuracy: 57.47%  val_loss: 1.2497  val_accuracy: 61.56%
  Epoch [77/300]  loss: 1.2241  accuracy: 57.16%  val_loss: 1.2323  val_accuracy: 58.64%
