class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Cabernet Sauvignon,0.4737,0.3103,0.375,0.2308,29,9,20,10,641,0.6662
Chardonnay,0.5333,0.5,0.5161,0.3478,32,16,16,14,634,0.7189
Cider,0.5312,0.3864,0.4474,0.2882,88,34,54,30,562,0.8121
IPA,0.5778,0.6933,0.6303,0.4602,75,52,23,38,567,0.9053
Lager,0.4262,0.4483,0.437,0.2796,58,26,32,35,587,0.8561
Malbec,0.3871,0.5,0.4364,0.2791,24,12,12,19,637,0.7427
Pinot Noir,0.4211,0.3478,0.381,0.2353,23,8,15,11,646,0.8482
Sauvignon blanc,0.3913,0.5806,0.4675,0.3051,31,18,13,28,621,0.7608
Stout,0.819,0.8269,0.823,0.6992,104,86,18,19,557,0.935
Wheat,0.6737,0.6809,0.6772,0.5119,94,64,30,31,555,0.9112
orange wine,0.8,0.8485,0.8235,0.7,33,28,5,7,640,0.9347
rose wine,0.9059,0.8652,0.8851,0.7939,89,77,12,8,583,0.9457
