class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Chardonnay,0.6098,0.7812,0.6849,0.5208,32,25,7,16,493,0.8107
Sauvignon blanc,0.7083,0.5484,0.6182,0.4474,31,17,14,7,503,0.6662
orange wine,0.871,0.8182,0.8438,0.7298,33,27,6,4,504,0.9043
rose wine,0.9438,0.9438,0.9438,0.8936,89,84,5,5,447,0.9762
Cabernet Sauvignon,0.5278,0.6552,0.5846,0.413,29,19,10,17,495,0.7419
Malbec,0.4,0.3333,0.3636,0.2222,24,8,16,12,505,0.5307
Pinot Noir,0.65,0.5652,0.6047,0.4334,23,13,10,7,511,0.6401
Wheat,0.8276,0.7619,0.7934,0.6576,63,48,15,10,468,0.9351
Cider,0.7333,0.7458,0.7395,0.5867,59,44,15,16,466,0.9471
IPA,0.5606,0.74,0.6379,0.4683,50,37,13,29,462,0.9344
Lager,0.8261,0.4872,0.6129,0.4419,39,19,20,4,498,0.9052
Stout,0.9041,0.9565,0.9296,0.8685,69,66,3,7,465,0.9742
